datetime,cpu,ram,swap,net_sent_kb,net_recv_kb
2026-05-20 09:05:50,0.1,55.4,4.1,0.291942178554124,0.16820509625303834
2026-05-20 09:05:53,1.6,55.4,4.1,0.7151452647501465,0.4151204882184395
2026-05-20 09:05:56,2.2,55.4,4.1,0.45210258703711703,0.3005343815987742
2026-05-20 09:05:59,0.1,55.4,4.1,0.8789786786875233,0.6564116004143523
2026-05-20 09:06:02,1.8,55.6,4.1,1.0019428421932242,6.32717348649145
2026-05-20 09:06:05,0.9,55.7,4.1,1.842540697202325,1.997514708433214
2026-05-20 09:06:08,1.2,55.1,4.1,0.6080081082594352,0.45058032956253297
